marca,modelo,year,precio,kilometraje,combustible,ciudad,url,precio_num,km_num,year_limpio
audi,A1 Sportback 30 Tfsi Sport,2024,21990000.0,27294.0,bencina,santiago,https://automoviles.emol.com/venta/autos/audi-a1-2024-metropolitana-de-santiago-cod77058519.html,21997.0,272940.0,2024
audi,A1 Sportback 30 Tfsi Sport,2024,21990000.0,11766.0,bencina,santiago,https://automoviles.emol.com/venta/autos/audi-a1-2024-metropolitana-de-santiago-cod77060536.html,21997.0,117660.0,2024
audi,A3 2.0 Tfsi Sport Auto,2018,18990000.0,84917.0,bencina,santiago,https://automoviles.emol.com/venta/autos/audi-a3-2018-metropolitana-de-santiago-cod77311817.html,18997.0,849170.0,2018
audi,A3 1.4 35 Tfsi Stronic Auto,2018,15890000.0,93687.0,bencina,santiago,https://automoviles.emol.com/venta/autos/audi-a3-2018-metropolitana-de-santiago-cod77339804.html,15897.0,936870.0,2018
audi,A4 2.0 Tfsi 35 S-tronic,2024,29490000.0,45021.0,bencina,santiago,https://automoviles.emol.com/venta/autos/audi-a4-2024-metropolitana-de-santiago-cod77337638.html,29497.0,450210.0,2024
audi,A5 New 2.0 Tfsi Quattro S Li,2026,54990000.0,1500.0,bencina,santiago,https://automoviles.emol.com/venta/autos/audi-a5-2026-metropolitana-de-santiago-cod77303600.html,54997.0,15000.0,2026
audi,A6 2.0 Turbo,2015,12970000.0,182000.0,diesel,santiago,https://automoviles.emol.com/venta/autos/audi-a6-2015-metropolitana-de-santiago-cod77139422.html,12977.0,1820000.0,2015
audi,E-tron Bev 95kwh 55 Quattro,2024,57990000.0,10808.0,electrico,santiago,https://automoviles.emol.com/venta/autos/audi-e-tron-2024-metropolitana-de-santiago-cod77204546.html,57997.0,108080.0,2024
audi,Q2 1.4 35 Tfsi Stronic Auto,2023,24990000.0,45182.0,bencina,santiago,https://automoviles.emol.com/venta/autos/audi-q2-2023-metropolitana-de-santiago-cod77341775.html,24997.0,451820.0,2023
audi,Q3,2016,15980000.0,62708.0,bencina,santiago,https://automoviles.emol.com/venta/autos/audi-q3-2016-metropolitana-de-santiago-cod76080691.html,15987.0,627080.0,2016
audi,Q3 Sportback S-line 35 Tfsi,2021,33980000.0,22500.0,bencina,santiago,https://automoviles.emol.com/venta/autos/audi-q3-2021-metropolitana-de-santiago-cod76082394.html,33987.0,225000.0,2021
audi,Q3 35 Tfsi 1.4,2021,25990000.0,30273.0,bencina,santiago,https://automoviles.emol.com/venta/autos/audi-q3-2021-metropolitana-de-santiago-cod77000240.html,25997.0,302730.0,2021
audi,Q3 35 Tfsi 1.4 Turbo,2021,21970000.0,80500.0,bencina,santiago,https://automoviles.emol.com/venta/autos/audi-q3-2021-metropolitana-de-santiago-cod77218640.html,21977.0,805000.0,2021
audi,Q3 2.0 40 Tfsi Stronic Sport,2022,22500000.0,92406.0,bencina,santiago,https://automoviles.emol.com/venta/autos/audi-q3-2022-metropolitana-de-santiago-cod77259538.html,2257.0,924060.0,2022
audi,Q3 Sportback 1.4 35 Tfsi,2023,27970000.0,66000.0,bencina,santiago,https://automoviles.emol.com/venta/autos/audi-q3-2023-metropolitana-de-santiago-cod77353821.html,27977.0,660000.0,2023
audi,Q3 Sportback 1.4t 35 Tfsi S-,2025,34490000.0,7018.0,bencina,santiago,https://automoviles.emol.com/venta/autos/audi-q3-2025-metropolitana-de-santiago-cod77341794.html,34497.0,70180.0,2025
audi,Q5 2.0 45 Tfsi S-line Auto Q,2019,28990000.0,61312.0,bencina,santiago,https://automoviles.emol.com/venta/autos/audi-q5-2019-metropolitana-de-santiago-cod77331754.html,28997.0,613120.0,2019
audi,Q5 2.0 50 Tfsi E Hybrid Spor,2025,62490000.0,8136.0,hibrido,santiago,https://automoviles.emol.com/venta/autos/audi-q5-2025-metropolitana-de-santiago-cod77319872.html,62497.0,81360.0,2025
audi,Q7 2.0 Tfsi Quattro Tiptroni,2018,27990000.0,121130.0,bencina,santiago,https://automoviles.emol.com/venta/autos/audi-q7-2018-metropolitana-de-santiago-cod77326617.html,27997.0,1211300.0,2018
audi,Q8 : 3.0 55 Tfsi Sline Quatt,2023,55990000.0,70030.0,bencina,santiago,https://automoviles.emol.com/venta/autos/audi-q8-2023-metropolitana-de-santiago-cod76937854.html,55997.0,700300.0,2023
audi,S4 3.0 Tfsi Tiptronic Quattr,2024,51990000.0,11824.0,bencina,santiago,https://automoviles.emol.com/venta/autos/audi-s4-2024-metropolitana-de-santiago-cod76568767.html,51997.0,118240.0,2024
audi,S5 3.0 V6 Cabrio Quattro,2018,35490000.0,58000.0,bencina,santiago,https://automoviles.emol.com/venta/autos/audi-s5-2018-metropolitana-de-santiago-cod60368414.html,35497.0,580000.0,2018
audi,Sq7 4.0 Tfsi Quattro 7p,2025,104990000.0,15000.0,bencina,santiago,https://automoviles.emol.com/venta/autos/audi-sq7-2025-metropolitana-de-santiago-cod77167028.html,104998.0,150000.0,2025
