marca,modelo,precio,kilometraje,year,combustible,ciudad,cat_combustible,antiguedad_auto,uso_anual_estimado,es_ecologico,categoria_precio,rango_kilometraje,tipo_marca,segmento_depreciacion
audi,A1 Sportback 30 Tfsi Sport,21990000.0,27294.0,2024,bencina,santiago,0,2,13647.0,0,alto,bajo,premium,baja depreciacion
audi,A1 Sportback 30 Tfsi Sport,21990000.0,11766.0,2024,bencina,santiago,0,2,5883.0,0,alto,bajo,premium,baja depreciacion
audi,A3 2.0 Tfsi Sport Auto,18990000.0,84917.0,2018,bencina,santiago,0,8,10614.625,0,medio,medio,premium,depreciacion media
audi,A3 1.4 35 Tfsi Stronic Auto,15890000.0,93687.0,2018,bencina,santiago,0,8,11710.875,0,medio,medio,premium,depreciacion media
audi,A4 2.0 Tfsi 35 S-tronic,29490000.0,45021.0,2024,bencina,santiago,0,2,22510.5,0,alto,medio,premium,baja depreciacion
audi,A5 New 2.0 Tfsi Quattro S Li,54990000.0,1500.0,2026,bencina,santiago,0,0,1500.0,0,premium,bajo,premium,baja depreciacion
audi,A6 2.0 Turbo,12970000.0,182000.0,2015,diesel,santiago,1,11,16545.454545454544,0,medio,alto,premium,alta depreciacion
audi,E-tron Bev 95kwh 55 Quattro,57990000.0,10808.0,2024,electrico,santiago,3,2,5404.0,1,premium,bajo,premium,baja depreciacion
audi,Q2 1.4 35 Tfsi Stronic Auto,24990000.0,45182.0,2023,bencina,santiago,0,3,15060.666666666666,0,alto,medio,premium,baja depreciacion
audi,Q3,15980000.0,62708.0,2016,bencina,santiago,0,10,6270.8,0,medio,medio,premium,alta depreciacion
audi,Q3 Sportback S-line 35 Tfsi,33980000.0,22500.0,2021,bencina,santiago,0,5,4500.0,0,alto,bajo,premium,depreciacion media
audi,Q3 35 Tfsi 1.4,25990000.0,30273.0,2021,bencina,santiago,0,5,6054.6,0,alto,medio,premium,depreciacion media
audi,Q3 35 Tfsi 1.4 Turbo,21970000.0,80500.0,2021,bencina,santiago,0,5,16100.0,0,alto,medio,premium,depreciacion media
audi,Q3 2.0 40 Tfsi Stronic Sport,22500000.0,92406.0,2022,bencina,santiago,0,4,23101.5,0,alto,medio,premium,depreciacion media
audi,Q3 Sportback 1.4 35 Tfsi,27970000.0,66000.0,2023,bencina,santiago,0,3,22000.0,0,alto,medio,premium,depreciacion media
