precio,kilometraje,anio,combustible_limpio,marca_limpia,modelo_limpio,cat_combustible,cat_marca,cat_modelo,features,scaledFeatures,prediction
21990000.0,27294.0,2024,bencina,audi,a1 sportback 30 tfsi sport,0,14,163,"[21990000.0,27294.0,2024.0,14.0,163.0]","[2.2055632343512466,0.5465732235201806,569.9189108434831,1.164360036611649,0.729868964320614]",3
18990000.0,84917.0,2018,bencina,audi,a3 2.0 tfsi sport auto,0,14,296,"[18990000.0,84917.0,2018.0,14.0,296.0]","[1.9046678408517588,1.7004967546590155,568.2294279062,1.164360036611649,1.325406217416575]",1
15890000.0,93687.0,2018,bencina,audi,a3 1.4 35 tfsi stronic auto,0,14,295,"[15890000.0,93687.0,2018.0,14.0,295.0]","[1.593742600902288,1.8761194984954626,568.2294279062,1.164360036611649,1.3209284937090866]",1
21990000.0,11766.0,2024,bencina,audi,a1 sportback 30 tfsi sport,0,14,163,"[21990000.0,11766.0,2024.0,14.0,163.0]","[2.2055632343512466,0.23561883739790593,569.9189108434831,1.164360036611649,0.729868964320614]",3
12970000.0,182000.0,2015,diesel,audi,a6 2.0 turbo,1,14,300,"[12970000.0,182000.0,2015.0,14.0,300.0]","[1.3008710845627862,3.644622506069937,567.3846864375586,1.164360036611649,1.3433171122465288]",1
55990000.0,70030.0,2023,bencina,audi,q8 : 3.0 55 tfsi sline quatt,0,14,590,"[55990000.0,70030.0,2023.0,14.0,590.0]","[5.615711027345443,1.4023786489015257,569.6373303539359,1.164360036611649,2.641856987418173]",2
51990000.0,11824.0,2024,bencina,audi,s4 3.0 tfsi tiptronic quattr,0,14,633,"[51990000.0,11824.0,2024.0,14.0,633.0]","[5.214517169346126,0.2367803105042359,569.9189108434831,1.164360036611649,2.8343991068401757]",2
14950000.0,98188.0,2016,bencina,bmw,120i lci 1.6,0,12,245,"[14950000.0,98188.0,2016.0,12.0,245.0]","[1.4994620442724482,1.966253816626346,567.6662669271058,0.9980228885242706,1.0970423083346652]",1
29970000.0,43000.0,2018,bencina,bmw,x4 2.0 turbo xdrive,0,12,769,"[29970000.0,43000.0,2018.0,12.0,769.0]","[3.0059449810598844,0.8610921305549851,568.2294279062,0.9980228885242706,3.443369531058602]",0
59970000.0,51500.0,2023,bencina,bmw,x5 xdrive 40 msport,0,12,773,"[59970000.0,51500.0,2023.0,12.0,773.0]","[6.014898916054764,1.0313080168274822,569.6373303539359,0.9980228885242706,3.461280425888556]",2
20590000.0,45469.0,2024,bencina,chery,tiggo 2.0 tgdi glx pro max awd,0,6,32,"[20590000.0,45469.0,2024.0,6.0,32.0]","[2.0651453840514855,0.9105348391675493,569.9189108434831,0.4990114442621353,0.14328715863962974]",3
