marca,modelo,year,kilometraje,combustible,ciudad,precio,marca_cat,modelo_cat,combustible_cat,ciudad_cat,depreciacion_estimada,prediction,grupo_depreciacion,scaledFeatures_0,scaledFeatures_1,scaledFeatures_2,scaledFeatures_3,scaledFeatures_4,scaledFeatures_5
audi,A1 Sportback 30 Tfsi Sport,2024,27294.0,bencina,santiago,22990000.0,1,70,0,70,842.278805642059,0,Depreciacion Media,0.6798311214106435,-0.8404058960042735,0.7802581196468457,0.09790778667153835,-1.6972553863395938,-0.5034976824218809
audi,A1 Sportback 30 Tfsi Sport,2024,11766.0,bencina,santiago,22990000.0,1,70,0,70,1953.7690150420667,0,Depreciacion Media,0.6798311214106435,-1.1433759529302827,0.7802581196468457,0.6589821080124622,-1.6972553863395938,-0.5034976824218809
audi,A1 Sportback 30 Tfsi 1.0,2025,1077.0,bencina,santiago,23990000.0,1,69,0,70,22254.17439703154,2,Depreciacion Baja,0.7808530041893089,-1.3519312683915212,1.0616980871578399,10.90651832229349,-1.6972553863395938,-0.5034976824218809
audi,A3 1.8 T,2014,115092.0,bencina,santiago,12950000.0,1,76,0,70,112.51770307490465,1,Depreciacion Alta,-0.3344285816871573,0.8726392519857933,-2.034141555463097,-0.2704717203192567,-1.6972553863395938,-0.5034976824218809
audi,A3 2.0 Tfsi Sport Auto,2018,84917.0,bencina,santiago,18990000.0,1,77,0,70,223.62749947007703,0,Depreciacion Media,0.2757435902959819,0.2838885134655506,-0.90838168541912,-0.2143840885258991,-1.6972553863395938,-0.5034976824218809
audi,A3 1.4 35 Tfsi Stronic Sport,2023,26235.0,bencina,santiago,23790000.0,1,75,0,70,906.7693245921635,0,Depreciacion Media,0.7606486276335759,-0.8610682665790188,0.49881815213585134,0.13046225619978216,-1.6972553863395938,-0.5034976824218809
audi,A5 2.0 Sportback 40 Tfsi Mhe,2024,29450.0,bencina,santiago,36990000.0,1,79,0,70,1255.9845166547825,2,Depreciacion Baja,2.0941374803119595,-0.7983397289040368,0.7802581196468457,0.3067442200276436,-1.6972553863395938,-0.5034976824218809
audi,A5 New 2.0 Tfsi Quattro S Li,2026,1500.0,bencina,santiago,54990000.0,1,80,0,70,36635.576282478345,2,Depreciacion Baja,3.912531370327937,-1.3436780268871613,1.343138054668834,18.16617318435825,-1.6972553863395938,-0.5034976824218809
audi,A6 2.0 Turbo,2015,182000.0,diesel,santiago,12970000.0,1,81,1,70,71.26334470689721,1,Depreciacion Alta,-0.3324081440315839,2.1780952391577038,-1.7527015879521028,-0.29129670008779635,-1.6972553863395938,1.2993191108652569
audi,E-tron Bev 95kwh 55 Quattro,2024,10808.0,electrico,santiago,57990000.0,1,251,2,70,5364.973633083541,2,Depreciacion Baja,4.215597018663933,-1.1620676913727812,0.7802581196468457,2.380939980278208,-1.6972553863395938,3.102135904152395
